ID,altitude_in_m,min_max,time,time_decimals,time_peak
551074,2224.0,max,03:00,3.0,2.0
174758,1748.0,max,02:35,2.6,1.7
131587,1825.0,max,03:30,3.5,2.3
78005,1231.0,max,03:09,3.2,2.1
131430,1683.0,max,05:00,5.0,3.3
665018,2588.0,max,04:30,4.5,3.0
131582,1468.0,max,02:15,2.2,1.5
232768,430.0,max,03:05,3.1,2.1
907664,1014.0,max,01:00,1.0,0.7
219443,1046.0,max,04:00,4.0,2.7
131471,1652.0,max,05:19,5.3,3.5
972290,1485.0,max,01:30,1.5,1.0
907681,947.0,max,03:30,3.5,2.3
503824,2318.0,max,04:00,4.0,2.7
156767,676.0,max,04:21,4.4,2.9
315024,622.0,max,04:30,4.5,3.0
130854,1826.0,max,05:45,5.8,3.9
67705,472.0,max,01:30,1.5,1.0
130791,918.0,max,04:30,4.5,3.0
131445,1896.0,max,04:49,4.8,3.2
1038360,1399.0,max,05:55,5.9,3.9
198034,625.0,max,10:58,11.0,7.3
130790,1170.0,max,05:00,5.0,3.3
124369,447.0,max,07:04,7.1,4.7
870413,1864.0,max,04:56,4.9,3.3
131408,1324.0,max,03:43,3.7,2.5
864947,2485.0,max,06:30,6.5,4.3
130570,500.0,max,04:30,4.5,3.0
131590,1128.0,max,01:20,1.3,0.9
869515,560.0,max,05:45,5.8,3.9
812721,758.0,max,04:10,4.2,2.8
286193,2420.0,max,04:47,4.8,3.2
205113,1642.0,max,38:16,38.3,25.5
130837,2163.0,max,05:30,5.5,3.7
130763,803.0,max,02:30,2.5,1.7
130801,2125.0,max,05:30,5.5,3.7
130777,696.0,max,06:30,6.5,4.3
894767,1304.0,max,03:00,3.0,2.0
602757,1171.0,max,05:13,5.2,3.5
130059,1077.0,max,04:00,4.0,2.7
131446,2342.0,max,08:11,8.2,5.5
131485,1540.0,max,05:30,5.5,3.7
175670,2168.0,max,04:19,4.3,2.9
238948,580.0,max,02:00,2.0,1.3
1034409,2246.0,max,05:50,5.8,3.9
130826,1526.0,max,05:45,5.8,3.9
307025,2408.0,max,08:50,8.8,5.9
130805,1306.0,max,05:30,5.5,3.7
1006946,845.0,max,03:45,3.8,2.5
593363,1364.0,max,00:39,0.6,0.4
270372,1520.0,max,00:20,0.3,0.2
157682,688.0,max,21:37,21.6,14.4
130063,1246.0,max,03:00,3.0,2.0
1006859,1847.0,max,09:25,9.4,6.3
549724,1817.0,max,04:31,4.5,3.0
272874,2436.0,max,05:10,5.2,3.5
696090,2390.0,max,07:00,7.0,4.7
1008037,1608.0,max,05:55,5.9,3.9
525018,890.0,max,04:20,4.3,2.9
1000642,1620.0,max,03:30,3.5,2.3
272906,1843.0,max,03:40,3.7,2.5
194345,2139.0,max,08:00,8.0,5.3
1008017,938.0,max,03:45,3.8,2.5
272901,2156.0,max,03:54,3.9,2.6
89333,1868.0,max,02:50,2.8,1.9
63630,1875.0,max,03:23,3.4,2.3
1000569,1402.0,max,04:05,4.1,2.7
272869,1911.0,max,04:40,4.7,3.1
453523,2064.0,max,03:15,3.2,2.1
109594,890.0,max,02:30,2.5,1.7
1000637,654.0,max,01:55,1.9,1.3
336245,1644.0,max,05:28,5.5,3.7
525396,1431.0,max,05:16,5.3,3.5
463042,877.0,max,00:38,0.6,0.4
101618,884.0,max,03:30,3.5,2.3
262232,2447.0,max,07:00,7.0,4.7
7873,2450.0,max,03:00,3.0,2.0
455703,2376.0,max,07:40,7.7,5.1
180173,456.0,max,01:09,1.2,0.8
1000668,562.0,max,00:45,0.8,0.5
1013186,1271.0,max,01:35,1.6,1.1
89424,923.0,max,05:00,5.0,3.3
272889,1877.0,max,04:01,4.0,2.7
287882,922.0,max,04:00,4.0,2.7
180234,737.0,max,01:30,1.5,1.0
405223,2635.0,max,04:00,4.0,2.7
89324,1724.0,max,01:40,1.7,1.1
101993,2328.0,max,07:30,7.5,5.0
474073,258.0,max,02:58,3.0,2.0
405272,2482.0,max,06:30,6.5,4.3
260856,2478.0,max,02:30,2.5,1.7
180175,1329.0,max,03:10,3.2,2.1
455700,1907.0,max,03:28,3.5,2.3
859950,1975.0,max,05:20,5.3,3.5
452369,1791.0,max,05:41,5.7,3.8
524981,2518.0,max,10:15,10.2,6.8
461549,2480.0,max,08:40,8.7,5.8
444836,1568.0,max,04:27,4.4,2.9
101997,2258.0,max,03:30,3.5,2.3
272890,1877.0,max,08:00,8.0,5.3
549001,621.0,max,01:46,1.8,1.2
1006850,854.0,max,02:45,2.8,1.9
101591,1844.0,max,08:30,8.5,5.7
61595,1925.0,max,03:00,3.0,2.0
1006846,1012.0,max,03:50,3.8,2.5
272898,1722.0,max,03:11,3.2,2.1
452368,907.0,max,04:00,4.0,2.7
272856,2002.0,max,02:42,2.7,1.8
525017,1991.0,max,03:55,3.9,2.6
101594,1325.0,max,06:10,6.2,4.1
107981,463.0,max,04:00,4.0,2.7
368293,392.0,max,02:30,2.5,1.7
7816,3103.0,max,10:00,10.0,6.7
524976,1875.0,max,05:30,5.5,3.7
70919,1621.0,max,08:38,8.6,5.7
101094,2530.0,max,04:28,4.5,3.0
272871,1774.0,max,03:32,3.5,2.3
525015,2219.0,max,09:45,9.8,6.5
114370,508.0,max,02:35,2.6,1.7
405256,2570.0,max,07:30,7.5,5.0
688534,1644.0,max,05:30,5.5,3.7
368294,392.0,max,03:00,3.0,2.0
524979,2141.0,max,05:25,5.4,3.6
463972,1974.0,max,05:16,5.3,3.5
525016,602.0,max,03:10,3.2,2.1
912379,1543.0,max,02:30,2.5,1.7
731570,1962.0,max,05:45,5.8,3.9
463974,1162.0,max,04:12,4.2,2.8
148360,2227.0,max,06:34,6.6,4.4
487912,1677.0,max,05:39,5.6,3.7
272847,2079.0,max,04:10,4.2,2.8
1000571,1891.0,max,06:50,6.8,4.5
1000654,1101.0,max,03:40,3.7,2.5
996886,795.0,max,04:05,4.1,2.7
180236,1290.0,max,00:33,0.6,0.4
272907,1841.0,max,03:15,3.2,2.1
272848,2359.0,max,07:15,7.2,4.8
272878,1722.0,max,03:22,3.4,2.3
525019,757.0,max,02:00,2.0,1.3
1006854,1252.0,max,02:20,2.3,1.5
912394,949.0,max,02:00,2.0,1.3
1006838,683.0,max,02:10,2.2,1.5
310035,2115.0,max,04:30,4.5,3.0
74009,511.0,max,03:00,3.0,2.0
129246,2077.0,max,04:30,4.5,3.0
698811,2003.0,max,06:15,6.2,4.1
1006855,919.0,max,04:45,4.8,3.2
108114,2376.0,max,06:30,6.5,4.3
463922,2104.0,max,02:23,2.4,1.6
272904,1144.0,max,03:50,3.8,2.5
1000546,1891.0,max,17:05,17.1,11.4
1006940,1673.0,max,26:20,26.3,17.5
507989,1936.0,max,00:16,0.3,0.2
194344,1007.0,max,04:00,4.0,2.7
101593,1843.0,max,07:40,7.7,5.1
180235,1688.0,max,04:00,4.0,2.7
461550,459.0,max,01:52,1.9,1.3
272850,1110.0,max,02:55,2.9,1.9
172630,463.0,max,06:00,6.0,4.0
525397,1231.0,max,05:35,5.6,3.7
524973,2171.0,max,04:30,4.5,3.0
79777,305.0,max,02:11,2.2,1.5
74011,582.0,max,04:30,4.5,3.0
1000689,1884.0,max,07:10,7.2,4.8
1000700,1884.0,max,07:00,7.0,4.7
272900,2156.0,max,07:30,7.5,5.0
452371,1979.0,max,06:24,6.4,4.3
525379,293.0,max,06:06,6.1,4.1
1006839,824.0,max,04:30,4.5,3.0
1006852,1972.0,max,05:45,5.8,3.9
525413,410.0,max,06:01,6.0,4.0
1006841,1309.0,max,04:40,4.7,3.1
83735,2377.0,max,04:05,4.1,2.7
135549,3038.0,max,43:47,43.8,29.2
405270,2698.0,max,26:30,26.5,17.7
524990,2434.0,max,08:55,8.9,5.9
1000721,1884.0,max,08:55,8.9,5.9
524997,2141.0,max,08:50,8.8,5.9
1006856,1976.0,max,04:15,4.2,2.8
461545,2372.0,max,06:09,6.2,4.1
132741,2204.0,max,05:00,5.0,3.3
272903,343.0,max,02:45,2.8,1.9
912391,1987.0,max,01:50,1.8,1.2
1007981,1878.0,max,08:50,8.8,5.9
262233,2535.0,max,07:30,7.5,5.0
70602,2544.0,max,02:15,2.2,1.5
1006960,955.0,max,04:30,4.5,3.0
194346,1560.0,max,04:00,4.0,2.7
156884,313.0,max,07:20,7.3,4.9
525003,928.0,max,03:00,3.0,2.0
336246,942.0,max,03:31,3.5,2.3
60017,824.0,max,02:00,2.0,1.3
1006851,1560.0,max,05:00,5.0,3.3
1017242,2097.0,max,14:50,14.8,9.9
1000628,785.0,max,02:45,2.8,1.9
272902,1738.0,max,02:22,2.4,1.6
